palabra,gematria,reduccion,traduccion,pagina
ובלילה,83,11,yEnLaNoche,G6
ולהבדיל,87,15,yParaSeparar,G6
בין,712,10,entre,G6
האור,212,5,laLuz,G6
ובין,718,16,yentre,G6
החשך,813,12,laOscuridad,G6
וירא,217,10,yVio,G6
אלהים,646,16,Dios,G6
כי,30,3,que,G6
טוב,17,8,bueno,G6
ויהי,31,4,yFue,G6
ערב,272,11,tarde,G6
ויהי,31,4,yFue,G6
בקר,302,5,mañana,G6
יום,616,13,dia,G6
רביעי,292,13,cuarto,G6
ויאמר,257,14,yDijo,G6
אלהים,646,16,Dios,G6
ישרצו,606,12,rebosen,G6
המים,655,16,losMares,G6
שרץ,1400,5,criatura,G6
נפש,430,7,alientoDe,G6
חיה,23,5,vida,G6
ועוף,882,18,yAve,G6
יעופף,966,16,vuele,G6
על,100,1,sobre,G6
הארץ,1106,8,laTierra,G6
על,100,1,sobre,G6
פני,140,5,fazDe,G6
רקיע,380,11,laExpancionDe,G6
השמים,955,19,losCielos,G6
ויברא,219,12,yCreo,G6
ויאמר,257,14,yDijo,G6
את,401,5,**,G6
התנינם,1115,8,lasBestiasMarinas,G6
הגדלים,652,13,lasGrandes,G6
ואת,407,11,y**,G6
כל,50,5,todo,G6
נפש,430,7,alientoDe,G6
החיה,28,10,loViviente,G6
הרמשת,945,18,loMoviente,G6
אשר,501,6,que,G6
שרצו,596,20,rebosan,G6
המים,655,16,lasAguas,G6
למינהם,735,15,paraSuClase,G6
ואת,407,11,y**,G6
כל,50,5,toda,G6
עוף,876,21,aveDe,G6
כנף,870,15,alas,G6
למינהו,141,6,paraSuEspecie,G6
וירא,217,10,yvio,G6
אלהים,646,16,Dios,G6
כל,217,10,que,G6
טוב,17,8,bueno,G6
ויברך,718,16,yBendijo,G6
אתם,1001,2,aEllos,G6
אלהים,646,16,Dios,G6
לאמר,271,10,diciendo,G6
פרו,286,16,fructificad,G6
ורבו,214,7,yMultiplicad,G6
ומלאו,83,11,yLlenad,G6
את,401,5,**,G6
המים,655,16,lasAguas,G6
בימים,662,14,enLosMares,G6
והעוף,887,23,yElAve,G6
ירב,212,5,multipliquense,G6
בארץ,1103,5,enLaTierra,G6
ויהי,31,4,yFue,G6
ערב,272,11,tarde,G6
ויהי,31,4,yFue,G6
בקר,302,5,mañana,G6
יום,616,13,dia,G6
חמישי,368,17,quinto,G6
ויאמר,257,14,yDijo,G6
אלהים,646,16,Dios,G6
תוצא,497,20,produzca,G6
הארץ,1106,8,la Tierra,G6
נפש,430,7,alientoDe,G6
חיה,23,5,vida,G6
למינה,135,9,paraSuEspecie,G6
בהמה,52,7,ganado,G6
ורמש,546,15,yReptiles,G6
וחיתו,430,7,yAnimalde,G6
ארץ,1101,3,tierra,G6
למינה,135,9,paraSuEspecie,G6
ויהי,31,4,yFue,G6
כן,720,9,asi,G6
ויעש,386,17,eHizo,G6
אלהים,646,16,Dios,G6
את,401,5,**,G6
חית,418,13,animalDe,G6
הארץ,1106,8,laTierra,G6
למינה,135,9,paraSuEspecie,G6
את,401,5,**,G6
הבהמה,57,12,elGanado,G6
למינה,135,9,paraSuEspecie,G6
ואת,407,11,y**,G6
כל,50,5,todo,G6
רמש,540,9,reptilDe,G6
האדמה,55,10,elSuelo,G6
למינהו,141,6,paraSuEspecie,G6
וירא,217,10,yVio,G6
אלהים,646,16,Dios,G6
כי,30,3,que,G6
טוב,17,8,bueno,G6
ויאמר,257,14,yDijo,G6
אלהים,646,16,Dios,G6
נעשה,425,11,hagamos,G6
אדם,605,11,hombre,G6
בצלמנו,218,11,enImagenNuestra,G6
כדמותנו,526,13,comoSemejanzaNuestra,G6
וירדו,226,10,yGobiernen,G6
בדגת,409,13,enPecesDe,G6
הים,615,12,elMar,G6
ובעוף,884,20,yEnAvezDe,G6
השמים,955,19,losCielos,G6
ובבהמה,60,6,yEnElGanado,G6
ובכל,58,13,yEnToda,G6
הארץ,1106,8,laTierra,G6
ובכל,58,13,yEnTodo,G6
הרמש,545,14,elReptil,G6
הרמש,545,14,reptante,G6
על,100,1,sobre,G6
הארץ,1106,8,laTierra,G6
ויברא,219,12,yCreo,G6
אלהים,646,16,Dios,G6
את,401,5,**,G6
האדם,610,7,elHombre,G6
בצלמו,168,15,aSuImagen,G6
בצלם,722,11,enImagenDe,G6
אלהים,646,16,Dios,G6
ברא,203,5,creo,G6
אתו,407,11,aEl,G6
זכר,227,11,varon,G6
ונקבה,163,10,yHembra,G6
ברא,203,5,creo,G6
אתם,1001,2,aEllos,G6
ויברך,718,16,yBendijo,G6
אתם,1001,2,aEllos,G6
אלהים,646,16,Dios,G6
ויאמר,257,14,yDijo,G6
להם,635,14,aEllos,G6
אלהים,646,16,Dios,G6
פרו,286,16,fructificad,G6
ורבו,214,7,yAunmentad,G6
ומלאו,83,11,yLlenad,G6
את,401,5,**,G6
הארץ,1106,8,laTierra,G6
וכבשה,333,9,ySometedla,G6
ורדו,216,9,yDominad,G6
בדגת,409,13,enPezDe,G6
הים,615,12,delMar,G6
ובעוף,884,20,yEnAveDe,G6
השמים,955,19,losCielos,G6
ובכל,58,13,yEnTodoSer,G6
חיה,23,5,viviente,G6
הרמשת,945,18,reptante,G6
על,100,1,sobre,G6
הארץ,1106,8,laTierra,G6
ויאמר,257,14,yDijo,G6
אלהים,646,16,Dios,G6
הנה,60,6,mira,G6
נתתי,860,14,doy,G6
לכם,650,11,aVosotros,G6
את,401,5,**,G6
כל,50,5,todoDe,G6
עשב,372,12,planta,G6
זרע,277,16,semilloza,G6
זרע,277,16,semilla,G6
אשר,501,6,que,G6
על,100,1,sobre,G6
פני,140,5,fazDe,G6
כל,50,5,todade,G6
הארץ,1106,8,laTierra,G6
ואת,407,11,y**,G6
כל,50,5,todoDe,G6
העץ,975,21,elArbol,G6
אשר,501,6,que,G6
בו,8,8,enEl,G6
פרי,290,11,frutoDe,G6
עץ,970,16,arbol,G6
זרע,277,16,semilleando,G6
זרע,277,16,semilla,G6
לכם,650,11,paraVosotros,G6
יהוה,26,8,sera,G8
לאכלה,86,14,paraAlimento,G8
ולכל,86,14,yParaTodo,G8
חית,418,13,animalDe,G8
הארץ,1106,8,laTierra,G8
ולכל,86,14,yParaToda,G8
עוף,876,21,aveDe,G8
השמים,955,19,losCielos,G8
ולכל,86,14,yParaTodo,G8
רומש,546,15,reptil,G8
על,100,1,sobre,G8
הארץ,1106,8,laTierra,G8
אשר,501,6,que,G8
בו,8,8,enEl,G8
נפש,430,7,alientoDe,G8
חיה,23,5,vida,G8
את,410,5,**,G8
כל,50,5,todoDe,G8
ירק,310,4,verde,G8
עשב,372,12,planta,G8
לאכלה,86,14,paraAlimento,G8
ויהי,31,4,yFue,G8
כן,720,9,asi,G8
וירא,217,10,yVio,G8
אלהים,646,16,Dios,G8
את,401,5,**,G8
כל,50,5,todo,G8
אשר,501,6,que,G8
עשה,375,15,hizo,G8
והנה,66,12,yMira,G8
טוב,17,8,bueno,G8
מאד,45,9,muy,G8
ויהי,31,4,yFue,G8
ערב,272,11,tarde,G8
ויהי,31,4,yFue,G8
בקר,302,5,mañana,G8
יום,616,13,dia,G8
הששי,615,12,sexto,G8
ויכלו,72,9,yFueronEchos,G8
השמים,955,19,losCielos,G8
והארץ,1112,5,yLaTierra,G8
וכל,56,11,yTodo,G8
צבאם,693,18,suEjercito,G8
ויכל,66,12,yTermino,G8
אלהים,646,16,Dios,G8
ביום,618,15,enElDia,G8
השביעי,397,19,elSeptimo,G8
מלאכתו,497,20,suHobra,G8
אשר,501,6,que,G8
עשה,375,15,hizo,G8
וישבת,718,16,yDescanso,G8
ביום,618,15,enElDia,G8
השביעי,397,19,elSeptimo,G8
מכל,90,9,deToda,G8
מלאכתו,497,20,suObra,G8
אשר,501,6,que,G8
עשר,570,12,hizo,G8
ויברך,718,16,yBendijo,G8
אלהים,646,16,Dios,G8
את,401,5,que,G8
יום,616,13,dia,G8
השביעי,397,19,elSeptimo,G8
ויקדש,420,6,ySantifico,G8
אתו,407,11,aEl,G8
כי,30,3,porQue,G8
כו,26,8,enEl,G8
שבת,702,9,descanso,G8
מכל,90,9,deToda,G8
מלאכתו,497,20,suObra,G8
אשר,501,6,que,G8
ברא,203,5,creo,G8
אלהים,646,16,Dios,G8
לעשות,86,14,paraHacer,G8
אלה,36,9,estas,G8
תולדות,846,18,generacionesDe,G8
השמים,955,19,losCielos,G8
והארץ,1112,5,yLaTierra,G8
בהבראם,810,9,enSuCreacion,G8
ביום,618,15,enDia,G8
עשות,776,20,hacer,G8
יהוה,26,8,Ashem,G8
אלהים,646,16,Dios,G8
ארץ,1101,3,tierra,G8
ושמים,956,20,yCielos,G8
וכל,56,11,yDeToda,G8
שיח,318,12,mataDel,G8
השדה,314,8,campo,G8
טרם,809,17,antesQue,G8
יהוה,26,8,apareciera,G8
בארץ,1103,5,enLaTierra,G8
וכל,56,11,yDeToda,G8
עשב,372,12,planta,G8
השדה,314,8,delCampo,G8
טרם,809,17,antesQue,G8
יצמח,148,13,brotara,G8
כי,30,3,porQue,G8
לא,31,4,no,G8
המטיר,264,12,hizoLlover,G8
יהוה,26,8,Ashem,G8
אלהים,646,16,Dios,G8
על,100,1,sobre,G8
הארץ,1106,8,laTierra,G8
ואדם,611,8,yHombre,G8
אין,711,9,noHabia,G8
לעבד,106,7,paraTrabajar,G8
את,401,5,**,G8
האדמה,55,10,elTerreno,G8
ואד,11,2,yHumedad,G8
יעלה,115,7,subia,G8
מן,740,11,de,G8
הארץ,1106,8,laTierra,G8
והשקה,416,11,yregaba,G8
את,401,5,**,G8
כל,50,5,toda,G8
פני,140,5,superficieDe,G8
האדמה,55,10,elTerreno,G8
וייצר,316,20,yFormo,G8
יהוה,26,8,Ashem,G8
אלהים,646,16,Dios,G8
את,401,5,**,G8
האדם,610,7,elHombre,G8
עפר,350,8,polvo,G8
מן,740,11,de,G8
האדמה,55,10,elTerreno,G8
ויפח,104,5,ySoplo,G8
באפח,91,10,enSusNarices,G8
נשמת,790,16,alientoDe,G8
חיים,628,16,vida,G8
ויהי,31,4,yFue,G8
האדם,610,7,elHombre,G8
לנפש,460,10,paraSer,G8
חיה,23,5,viviente,G8
ויטע,95,14,yPlanto,G8
יהוה,26,8,Ashem,G8
אלהים,646,16,Dios,G8
גן,703,10,huerto,G8
בעדן,776,20,enEden,G8
מקדם,744,15,enElEste,G8
וישם,916,16,yPuso,G8
שם,900,9,alli,G8
את,401,5,**,G8
האדם,610,7,elHombre,G8
אשר,501,6,que,G8
יצר,300,3,formo,G8
ויצמח,154,10,eHizoCrecer,G8
יהוה,26,8,Ashem,G8
אלהים,646,16,Dios,G8
מן,740,11,del,G8
האדמה,55,10,terreno,G8
כל,50,5,todo,G8
עץ,970,16,arbol,G8
נחמד,102,3,agradable,G8
למראה,276,15,paraLaVista,G8
וטוב,23,5,yBueno,G8
למאכל,121,4,paraComer,G8
ועץ,976,22,yArbolDe,G8
החיים,633,12,laVida,G8
בתוך,908,17,enMedioDe,G8
הגן,708,15,elHuerto,G8
ועץ,976,22,yArbolDe,G8
הדעת,479,20,elConocimientoDel,G8
טוב,17,8,bien,G8
ורע,276,15,yMal,G8
ונהר,261,9,yRio,G8
יצא,101,2,salia,G8
מעדן,814,13,deEden,G8
להשקות,841,13,paraRegar,G8
את,401,5,**,G8
הגן,708,15,eiHuerto,G8
ימשם,850,13,yDeAlli,G8
יפרד,294,15,seDividia,G8
והיה,26,8,yEra,G8
לארבעה,308,11,paraCuatro,G8
ראשים,1111,4,corrientes,G8
שם,900,9,nombreDe,G8
האחד,18,9,elUno,G8
פישון,1096,16,pison,G8
הוא,12,3,el,G8
הסבב,69,15,recorre,G8
את,401,5,**,G8
כל,50,5,toda,G8
ארץ,1101,3,tierraDe,G8
החוילה,64,10,laHavilah,G8
אשר,501,6,que,G8
שם,900,9,alli,G8
הזהב,19,10,elOro,G8
וזהב,20,2,yOroDe,G8
הארץ,1106,8,laTierra,G8
ההוא,17,8,elAquel,G8
טוב,17,8,bueno,G8
שם,900,9,alli,G8
הבדלח,49,13,recina,G8
ואבן,709,16,yPiedraDe,G8
השהם,910,10,onice,G8
ושם,906,15,yNombreDel,G8
הנהר,260,8,yRio,G10
השני,365,14,elSegundo,G10
גיחון,727,16,guijon,G10
הוא,12,3,el,G10
הסובב,75,12,elQueRodea,G10
את,401,5,**,G10
כל,50,5,toda,G10
ארץ,1101,3,tierraDe,G10
כוש,326,11,Cush,G10
ושם,906,15,yNombreDe,G10
הנהר,260,8,elRio,G10
השלישי,655,16,elTercero,G10
חדקל,142,7,jidekel,G10
הוא,12,3,el,G10
ההלך,540,9,elQueCorre,G10
קדמת,544,13,esteDe,G10
אשור,507,12,ashur,G10
והנהר,266,14,yElRio,G10
הרביעי,297,18,elCuarto,G10
הוא,12,3,el,G10
פרת,680,14,eufrates,G10
ויקח,124,7,yTomo,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
את,401,5,**,G10
האדם,610,7,elHombre,G10
וינחהו,85,13,yLePuso,G10
בגן,705,12,enElHuertoDe,G10
עדן,774,18,eden,G10
לעבדה,111,3,paraTrabajarlo,G10
ולשמרה,581,14,yParaCuidarlo,G10
ויצו,112,4,yMando,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
על,100,1,sobre,G10
האדם,610,7,elHombre,G10
לאמר,271,10,diciendo,G10
מכל,90,9,deTodo,G10
עץ,970,16,arbolDe,G10
הגן,708,15,elHuerto,G10
אכל,51,6,comer,G10
תאכל,451,10,comeras,G10
ומעץ,1016,8,yElArbolDe,G10
הדעת,479,20,elConocimientoDe,G10
טוב,17,8,bien,G10
ורע,276,15,yMal,G10
לא,31,4,no,G10
תאכל,451,10,comeras,G10
ממנו,136,10,deEl,G10
כי,30,3,porQue,G10
ביום,618,15,enDiaDe,G10
אכלך,551,11,tuComer,G10
ממנו,136,10,deEl,G10
מות,446,14,morir,G10
תמות,846,18,moriras,G10
ויאמר,257,14,yDijo,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
לא,31,4,no,G10
טוב,17,8,bueno,G10
היות,421,7,estar,G10
האדם,610,7,elHombre,G10
לבדו,42,6,solo,G10
אעשה,376,16,hare,G10
לו,36,9,paraEl,G10
עזר,277,16,ayuda,G10
כנגדו,83,11,queSuAdecuada,G10
ויצר,306,9,yFormo,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
מן,740,11,de,G10
האדמה,55,10,elTerreno,G10
כל,50,5,todo,G10
חית,418,13,vivienteDe,G10
השדה,314,8,elCampo,G10
ואת,407,11,y**,G10
כל,50,5,toda,G10
עוף,876,21,aveDe,G10
השמים,955,19,losCielos,G10
ויבא,19,10,yLlevo,G10
אל,31,4,a,G10
האדם,610,7,elHombre,G10
לראות,637,16,paraVer,G10
מה,45,9,loQue,G10
יקרא,311,5,llamaria,G10
לו,36,9,paraEl,G10
וכל,56,11,yTodo,G10
אשר,501,6,que,G10
יקרא,311,5,llamaria,G10
לו,36,9,paraEl,G10
האדם,610,7,elHombre,G10
נפש,430,7,ser,G10
חיה,23,5,viviente,G10
הוא,12,3,aQuello,G10
שמו,346,13,suNombre,G10
ויקרא,317,11,yLlamo,G10
האדם,610,7,elHombre,G10
שמות,746,17,nombres,G10
לכל,80,8,paraTodos,G10
הבהמה,57,12,losAnimales,G10
ולעוף,912,12,yParaAvesDe,G10
השמים,955,19,losCielos,G10
ולכל,86,14,yParaTodo,G10
חית,418,13,vivienteDe,G10
השדה,314,8,elCampo,G10
ולאדם,641,11,yParaAdan,G10
לא,31,4,no,G10
טצא,100,1,hallo,G10
עזר,277,16,ayuda,G10
כנגדו,83,11,queSuAdecuada,G10
ויפל,126,9,eHizoCaer,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
תרדמה,649,19,profundoSueño,G10
על,100,1,sobre,G10
האדם,610,7,elHombre,G10
ויישן,1026,9,yDurmio,G10
ויקח,124,7,yTomo,G10
אחת,409,13,unaDe,G10
מצלעתיו,646,16,deSuCostillas,G10
ויסגר,279,18,yCerro,G10
בשר,502,7,carne,G10
תחתנה,863,17,enSuLugar,G10
ויבן,718,16,eHizo,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
את,401,5,**,G10
הצלע,195,15,laCostilla,G10
אשר,501,6,que,G10
לקח,138,12,tomo,G10
מן,740,11,de,G10
האדם,610,7,elHombre,G10
לאשה,336,12,paraMujer,G10
ויבאה,24,6,yLaTrajo,G10
אל,31,4,a,G10
האדם,610,7,elHombre,G10
ויאמר,257,14,yDijo,G10
האדם,610,7,elHombre,G10
זאת,408,12,esta,G10
הפעם,755,17,elHaora,G10
עצם,760,13,hueso,G10
מעצמי,250,7,deMisHuesos,G10
ובשר,508,13,yCarne,G10
מבשרי,552,12,deMiCarne,G10
לזאת,438,15,paraEsta,G10
יקרא,311,5,seraLlamado,G10
אשה,306,9,varona,G10
כי,30,3,porQue,G10
מאיש,351,9,delVaron,G10
לקחה,143,8,fueTomada,G10
זאת,408,12,esta,G10
על,100,1,por,G10
כן,720,9,eso,G10
יעזב,89,17,dejara,G10
איש,311,5,hombre,G10
את,401,5,**,G10
אביו,19,10,suPadre,G10
ואת,407,11,y**,G10
אמו,47,11,suMadre,G10
ודבק,112,4,ySeUnira,G10
באשתו,709,16,enSuMujer,G10
והיו,27,9,ySeran,G10 
לבשר,532,10,paraCarne,G10
אחד,13,4,una,G10
ויהיו,37,10,yEstaban,G10
שניהם,965,20,ellosDos,G10
ערומים,926,17,desnudos,G10
האדם,610,7,elHombre,G10
ואשתו,713,11,ySuMujer,G10
ולא,37,10,yNo,G10
יתבששו,1018,10,seAvergonzaban,G10
והנחש,369,18,yLaSerpiente,G10
היה,20,2,era,G10
ערום,876,21,astuta,G10
מכל,90,9,deTodo,G10
חית,418,13,animalDe,G10
השדה,314,8,elCampo,G10
אשר,501,6,que,G10
עשה,375,15,hizo,G10
יהוה,26,8,Ashem,G10
אלהים,646,16,Dios,G10
ויאמר,257,14,yDijo,G10
אל,31,4,a,G10
האשה,311,5,laMujer,G10
אף,801,9,realmente,G10
כי,30,3,asi,G10
אמר,241,7,dijo,G10
אלהים,646,16,Dios,G10
לא,31,4,no,G10
תאכלו,457,16,comais,G10
מכל,90,9,deTodo,G10
עץ,970,16,arbolDe,G10
הגן,708,15,elHuerto,G10
ותאמר,647,17,yDijo,G10
האשה,311,5,laMujer,G10
אל,31,4,a,G10
הנחש,363,12,laSerpiente,G10
מפרי,330,6,delFrutoDe,G10
עץ,970,16,arbolDe,G10
הגן,708,15,elHuerto,G10
נאכל,101,2,comemos,G10
ומפרי,336,12,yDelFrutoDe,G10
העץ,975,21,elArbol,G10
אשר,501,6,que,G10
בתוך,908,17,enMedioDe,G10
הגן,708,15,elHuerto,G10
אמר,241,7,dijo,G10
אלהים,646,16,Dios,G10
לא,31,4,no,G10
תאכלו,457,16,comereis,G10
ממנו,136,10,deEl,G10
ולא,37,10,yNo,G10
תגעו,479,20,tocareis,G10
בו,8,8,enEl,G10
פן,780,15,o,G10
תמתון,1546,16,morireis,G10
ויאמר,257,14,yDijo,G12
הנחש,363,12,laSerpiente,G12
אל,31,4,a,G12
האשה,311,15,laMujer,G12
לא,31,4,no,G12
מות,446,14,morir,G12
תמתון,1546,16,morireis,G12
כי,30,3,porque,G12
ידע,84,12,sabe,G12
אלהים,646,16,Dios,G12
כי,30,3,que,G12
ביום,618,15,enDiaEn,G12
אכלכם,671,14,vuestroComer,G12
ממנו,136,10,deEl,G12
ונפקחו,250,7,ySeranAbiertos,G12
עיניכם,760,13,vuestrosOjos,G12
והייתם,1031,5,ySereis,G12
כאלהים,666,18,comoDios,G12
ידעי,94,13,conocedoresDe,G12
טוב,17,8,bien,G12
ורע,276,15,yMal,G12
ותרא,607,13,yVio,G12
האשה,311,5,laMujer,G12
כי,30,3,que,G12
טוב,17,8,bueno,G12
העץ,975,21,elArbol,G12
למאכל,121,4,paraComida,G12
וכי,36,9,yQue,G12
תאוה,412,7,agradable,G12
הוא,12,3,el,G12
לעינים,770,14,aLosOjos,G12
ונחמד,108,9,yDeseable,G12
העץ,975,21,elarbol,G12
להשכיל,395,17,paraHcerseSabio,G12
ותקח,514,10,yTomo,G12
מפריו,336,12,deSuFruto,G12
ותאכל,457,16,yComio,G12
ותתן,1506,12,yDio,G12
נם,650,11,tambien,G12
לאישה,346,13,ySuHombre,G12
עמה,115,7,conElla,G12
ויאכל,67,13,yComio,G12
ותפקחנה,649,19,yFueronAbiertos,G12
עיני,140,5,ojosDe,G12
שניהם,965,20,ellosDos,G12
וידעו,96,15,yConocieron,G12
כי,30,3,que,G12
עירמם,920,11,desnudos,G12
הם,605,11,ellos,G12
ויתפרו,702,9,yCosieron,G12
עלה,105,6,hojaDe,G12
תאנה,456,15,higuera,G12
ויעשו,392,14,eHicieron,G12
להם,635,14,paraEllos,G12
חגרת,611,8,vestidos,G12
